"filename", "language", "YAML", "Properties", "Markdown", "Makefile", "Docker", "Go Module File", "JSON", "TypeScript", "Go Checksum File", "Go", "TypeScript JSX", "SQLite", "Ignore", "JSON with Comments", "XML", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/address_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 12, 73
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/alert_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 5, 12, 103
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/blog_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 22, 51, 396
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/brand_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 13, 86
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/cart_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 17, 34, 300
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/category_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 24, 30, 232
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/coupon_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 8, 30, 344
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/coupon_svc_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 386, 0, 0, 0, 0, 0, 0, 0, 0, 33, 419
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/daily_product_stats_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 13, 89
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/daily_revenue_stats_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 8, 11, 76
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/event_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/gift_card_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 6, 13, 105
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/hero_slide_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 2, 13, 111
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/hero_slide_svc_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 16, 104
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/inventory_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 30, 32, 226
